Longitude,Latitude,Chl a Dec-Mar
-97.5,-44.5,0.1143
-102.5,-43.5,0.1144
-97.5,-49.5,0.1144
-93.5,-49,0.1144
-91.5,-49.5,0.1144
-123.5,-41,0.1145
-105.5,-42,0.1145
-98.5,-47.5,0.1145
-95.5,-44,0.1145
-90.5,-48.5,0.1145
-86.5,-47,0.1145
-93.5,-48,0.1146
-89.5,-45.5,0.1146
-150.5,-40.5,0.1147
-122.5,-40.5,0.1147
-103.5,-42.5,0.1147
-97.5,-45,0.1147
-87.5,-41.5,0.1147
-117.5,-41,0.1148
-95.5,-46.5,0.1148
-90.5,-49,0.1148
-89.5,-43,0.1148
-151.5,-40.5,0.1149
-102.5,-44.5,0.1149
-100.5,-48,0.1149
-97.5,-47.5,0.1149
-89.5,-42.5,0.1149
-95.5,-47.5,0.115
-95.5,-44.5,0.115
-125.5,-41.5,0.1151
-100.5,-45.5,0.1152
-99.5,-48,0.1152
-95.5,-48,0.1152
-93.5,-48.5,0.1152
-93.5,-45,0.1152
-92.5,-44.5,0.1152
-88.5,-48,0.1152
-100.5,-45,0.1153
-130.5,-41.5,0.1154
-103.5,-43,0.1154
-101.5,-45.5,0.1154
-99.5,-44.5,0.1154
-148.5,-41,0.1155
-114.5,-41.5,0.1155
-104.5,-44.5,0.1155
-88.5,-41,0.1155
-134.5,-42.5,0.1156
-116.5,-41.5,0.1156
-107.5,-42.5,0.1156
-100.5,-47.5,0.1156
-99.5,-47.5,0.1156
-98.5,-48,0.1156
-84.5,-41.5,0.1156
-101.5,-45,0.1157
-88.5,-43,0.1157
-87.5,-43.5,0.1157
-108.5,-42,0.1158
-87.5,-47.5,0.1158
-96.5,-49.5,0.1159
-94.5,-43,0.1159
-104.5,-44,0.116
-102.5,-45,0.116
-91.5,-48,0.116
-91.5,-44,0.116
-89.5,-43.5,0.116
-86.5,-47.5,0.116
-146.5,-41.5,0.1161
-99.5,-45,0.1161
-93.5,-49.5,0.1161
-95.5,-49,0.1162
-94.5,-48,0.1162
-94.5,-43.5,0.1162
-90.5,-42,0.1162
-88.5,-44,0.1162
-149.5,-41,0.1163
-128.5,-41,0.1163
-127.5,-41,0.1163
-95.5,-45.5,0.1163
-95.5,-45,0.1163
-94.5,-45.5,0.1163
-102.5,-46.5,0.1164
-102.5,-44,0.1164
-94.5,-48.5,0.1164
-84.5,-40.5,0.1164
-94.5,-49,0.1165
-88.5,-43.5,0.1165
-87.5,-48,0.1165
-140.5,-42,0.1166
-92.5,-50,0.1166
-90.5,-42.5,0.1166
-88.5,-45,0.1166
-118.5,-41,0.1167
-105.5,-44,0.1167
-90.5,-43,0.1167
-88.5,-44.5,0.1167
-86.5,-44,0.1167
-119.5,-41,0.1168
-103.5,-45.5,0.1168
-90.5,-49.5,0.1168
-89.5,-48.5,0.1168
-141.5,-42,0.1169
-98.5,-48.5,0.1169
-94.5,-44,0.1169
-86.5,-42,0.1169
-85.5,-47,0.1169
-96.5,-50,0.117
-95.5,-48.5,0.117
-93.5,-44.5,0.117
-139.5,-42,0.1171
-94.5,-44.5,0.1171
-91.5,-50,0.1171
-155.5,-41,0.1172
-110.5,-42,0.1172
-104.5,-45,0.1172
-101.5,-47.5,0.1172
-86.5,-48,0.1172
-138.5,-42,0.1173
-88.5,-48.5,0.1173
-84.5,-40,0.1173
-106.5,-43,0.1174
-86.5,-45,0.1174
-103.5,-44,0.1175
-100.5,-48.5,0.1176
-90.5,-50,0.1176
-87.5,-42,0.1176
-90.5,-43.5,0.1177
-87.5,-45,0.1177
-85.5,-46,0.1177
-105.5,-44.5,0.1178
-104.5,-42.5,0.1178
-100.5,-49,0.1178
-98.5,-49.5,0.1178
-96.5,-49,0.1178
-93.5,-50,0.1178
-99.5,-49,0.1179
-94.5,-49.5,0.1179
-94.5,-45,0.1179
-107.5,-43.5,0.118
-95.5,-49.5,0.118
-85.5,-42,0.118
-132.5,-42.5,0.1181
-131.5,-42,0.1181
-113.5,-42,0.1181
-97.5,-50,0.1181
-91.5,-43.5,0.1182
-87.5,-43,0.1182
-93.5,-42.5,0.1183
-92.5,-44,0.1183
-92.5,-42.5,0.1183
-147.5,-41.5,0.1184
-88.5,-42.5,0.1184
-87.5,-42.5,0.1184
-91.5,-42.5,0.1185
-86.5,-42.5,0.1185
-91.5,-50.5,0.1186
-89.5,-49,0.1186
-88.5,-41.5,0.1186
-87.5,-48.5,0.1186
-87.5,-44,0.1186
-109.5,-42.5,0.1187
-107.5,-43,0.1187
-90.5,-50.5,0.1187
-85.5,-44,0.1187
-135.5,-42.5,0.1188
-124.5,-41.5,0.1188
-117.5,-41.5,0.1188
-103.5,-46,0.1188
-89.5,-42,0.1188
-88.5,-42,0.1188
-154.5,-41,0.1189
-111.5,-42,0.119
-103.5,-46.5,0.119
-102.5,-47,0.119
-86.5,-44.5,0.119
-151.5,-41,0.1191
-145.5,-41.5,0.1191
-140.5,-42.5,0.1191
-106.5,-43.5,0.1191
-99.5,-48.5,0.1191
-87.5,-49,0.1191
-161.5,-40.5,0.1193
-112.5,-42,0.1194
-108.5,-42.5,0.1194
-94.5,-50,0.1194
-150.5,-41,0.1195
-142.5,-42,0.1195
-114.5,-42,0.1195
-105.5,-43.5,0.1195
-93.5,-44,0.1196
-92.5,-50.5,0.1196
-85.5,-42.5,0.1196
-89.5,-49.5,0.1197
-84.5,-46.5,0.1197
-168.5,-40,0.1198
-120.5,-41.5,0.1198
-95.5,-50,0.1198
-148.5,-41.5,0.1199
-93.5,-43,0.12
-93.5,-43.5,0.1201
-160.5,-40.5,0.1202
-119.5,-41.5,0.1202
-103.5,-43.5,0.1202
-87.5,-44.5,0.1203
-86.5,-48.5,0.1203
-129.5,-41.5,0.1204
-86.5,-43,0.1204
-144.5,-41.5,0.1205
-91.5,-43,0.1205
-85.5,-44.5,0.1205
-92.5,-43.5,0.1206
-87.5,-49.5,0.1206
-136.5,-42.5,0.1207
-122.5,-41,0.1207
-101.5,-48,0.1207
-88.5,-49,0.1207
-85.5,-45,0.1207
-133.5,-42.5,0.1208
-105.5,-42.5,0.1208
-89.5,-41.5,0.1208
-105.5,-43,0.1209
-85.5,-43.5,0.1211
-86.5,-43.5,0.1212
-118.5,-41.5,0.1213
-104.5,-43,0.1213
-137.5,-42.5,0.1215
-98.5,-50,0.1216
-157.5,-41,0.1217
-153.5,-41,0.1217
-91.5,-51,0.1217
-121.5,-41.5,0.1218
-92.5,-43,0.1218
-104.5,-45.5,0.122
-85.5,-45.5,0.122
-84.5,-42,0.122
-93.5,-50.5,0.1221
-88.5,-50,0.1221
-103.5,-47,0.1222
-102.5,-47.5,0.1222
-158.5,-41,0.1223
-127.5,-41.5,0.1223
-108.5,-43.5,0.1223
-101.5,-48.5,0.1223
-85.5,-47.5,0.1223
-149.5,-41.5,0.1224
-112.5,-42.5,0.1224
-104.5,-43.5,0.1224
-152.5,-41,0.1225
