Longitude,Latitude,Carbon_biomass
-177.317,-73.363,0.04725407
-177.628,-72.948,0.161077256
-115.9705,-74.0683,0.004844533
-176.79,-72.98,0.154903965
176.228,-71.958,0.282894918
177.218,-71.522,0.156957467
177.588,-71.365,0.2763922
178.815,-71.143,0.106255702
178.9,-70.96,0.058553994
178.927,-70.66,0.075150685
179.425,-70.152,0.058343172
179.522,-69.732,0.008691726
179.252,-69.373,0.033910232
-178.493,-66.4767,0.149291283
-68.28333333,-66.21666667,0.712979994
-66.8,-65.95,0.546
-63.31666667,-64.93333333,2.007635264
-63.11666667,-64.78333333,0.159
-62.06666667,-64.38333333,0.88
-61.46666667,-63.71666667,1.871527778
-59.16666667,-62.73333333,0.597
-113.9,-73.1,2.127142683
-116.3,-72.8,1.617018502
-113.6,-72.8,1.80131267
-113.4,-72.6,0.466833383
-113.4,-72.4,0.190537802
-120.8,-71.7,1.405649137
-77.84333333,-67.755,0.040735149
-78.02833333,-66.435,0.246405198
-78.02833333,-65.045,0.040735149
-78.02666667,-63.53166667,0.325724657
-78.01833333,-62.19166667,0.654745461
-77.97333333,-60.89333333,0.634329876
-78.06666667,-59.52833333,0.654745461
-78.29,-58.09,0.494861398
-78.52833333,-56.65,0.353007379
-78.49333333,-55.18833333,0.325724657
19.505,-56.94833333,0.465817369
1.395,-55.50333333,0.353007379
0.838333333,-52.89166667,0.675276291
19.54,-51.94666667,0.281165963
1.055,-50.345,0.33477489
19.63166667,-48.75333333,0.307760132
1.291666667,-47.18666667,0.220896487
20.25333333,-45.64833333,0.427595945
20.15833333,-42.415,0.263682423
63.4833,-62.5167,5.1425946
72.4333,-61.9167,4.445783661
81.85,-61.4167,0.724948483
91.8,-60.8333,4.055268999
101.95,-60.4333,2.959285538
107.4167,-45.05,0.105621559
46.0667,-65.7167,7.53394316
75.7,-63.6833,0.125112435
75.9,-63.6833,0.401187244
102.4333,-57.7167,3.072799053
109.9833,-47.05,1.600106145
91.0833,-60.8833,3.992806569
93.6833,-60.0167,2.86174958
99.8167,-57.6667,14.36369188
40.0167,-68.1667,0.042602836
41.6333,-67.1167,1.925875949
43.35,-65.45,1.974703513
47.2833,-65.3333,1.09890871
56,-64.3333,0.756589221
56,-64.3333,6.561373381
62,-63.9,7.239360072
68.0333,-63.6,0.700039699
71.55,-63.1833,0.519174094
